INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,BAJFINANCE,27-Jun-24,0.0,XX,6925.0,6941.45,6350.8,6490.5,6490.5,39052,322679.81,8409250,99750,4-Jun-24,4052.3100000000004,4209.8,56.15461788392422,217.79178463066228,-59.80738367575099
,BAJFINANCE,25-Jul-24,0.0,XX,6982.5,6982.5,6404.95,6540.25,6540.25,2246,18714.82,238250,26375,4-Jun-24,3500.3600000000006,4750.485,56.2519786987986,415.6413563449196,35.28236432838313
,BAJFINANCE,29-Aug-24,0.0,XX,7000.0,7000.0,6488.0,6603.7,6603.7,441,3692.56,44375,36500,4-Jun-24,4525.51,5296.835,56.384999465792006,570.9765893820731,142.42120933912113
,BALKRISIND,27-Jun-24,0.0,XX,3050.0,3053.0,2791.55,2909.35,2909.35,4613,40274.35,1793700,144900,4-Jun-24,4809.250000000001,5473.304999999999,47.356218049228275,391.4651441618139,192.22999630365968
,BALKRISIND,25-Jul-24,0.0,XX,3080.7,3080.7,2808.05,2914.7,2914.7,149,1307.57,28200,5100,4-Jun-24,5091.700000000001,4846.76,47.369361355433725,246.7879133577726,203.14157971448225
,BALKRISIND,29-Aug-24,0.0,XX,2930.0,2930.0,2930.0,2930.0,2947.75,1,8.79,300,300,4-Jun-24,4379.6,4215.955,47.409798893616035,131.8449215499595,188.8822480815777
,BALRAMCHIN,27-Jun-24,0.0,XX,390.35,390.35,344.0,364.0,364.0,3605,21408.31,10192000,-681600,4-Jun-24,3144.3500000000004,3322.3550000000005,41.63245763401318,-164.407791935364,118.22424007818935
,BALRAMCHIN,25-Jul-24,0.0,XX,390.7,390.9,358.0,367.2,367.2,264,1587.27,222400,76800,4-Jun-24,1897.0500000000004,3211.2799999999997,41.64200840112341,-394.3857550143457,15.702241059682331
,BALRAMCHIN,29-Aug-24,0.0,XX,363.0,363.0,363.0,363.0,370.4,1,5.8,4800,1600,4-Jun-24,1387.7800000000002,3098.515,41.632379381408754,-570.4085379962903,-101.5199147515122
,BANDHANBNK,27-Jun-24,0.0,XX,193.45,193.5,166.65,178.15,178.15,17125,77959.56,88455000,737500,4-Jun-24,840.4700000000005,2966.085,41.181040681307316,-716.5636125491383,-224.5286543110374
,BANDHANBNK,25-Jul-24,0.0,XX,194.1,194.1,171.45,179.8,179.8,1188,6114.92,4844000,870800,4-Jun-24,290.4300000000004,2335.015,41.18716972325369,-822.774983067191,-344.17792006226813
