Price,Close,High,Low,Open,Volume,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
2023-09-13,20070.0,20096.900390625,19944.099609375,19989.5,251400.0,19921.309765625,19701.040234375,73.48971011581709,135.52403074818358,61.78255127741642
2023-09-14,20103.099609375,20167.650390625,20043.44921875,20127.94921875,275100.0,19996.51953125,19785.9701171875,74.32553521836081,154.90694003296085,80.4074290285253
2023-09-15,20192.349609375,20222.44921875,20129.69921875,20156.44921875,438200.0,20070.999609375,19861.675,76.47894994799792,175.44731693661015,99.41540661014227
2023-09-18,20133.30078125,20195.349609375,20115.69921875,20155.94921875,264900.0,20098.38984375,19922.125,72.16626014782013,184.830357373241,116.49839676276201
2023-09-20,19901.400390625,20050.650390625,19878.849609375,19980.75,378100.0,20080.030078125,19954.775,58.2692696560292,171.5762370116463,127.51396481253887
2023-09-21,19742.349609375,19848.75,19709.94921875,19840.55078125,275100.0,20014.5,19967.9048828125,51.01339461650487,146.5488583151091,131.32094351305292
2023-09-22,19674.25,19798.650390625,19657.5,19744.849609375,246400.0,19928.730078125,19962.6248046875,48.24338371411557,119.83799325155269,129.02435346075288
2023-09-25,19674.55078125,19734.150390625,19601.55078125,19678.19921875,188400.0,19825.1703125,19948.0849609375,48.256747878160766,97.56899612766574,122.73328199413545
2023-09-26,19664.69921875,19699.349609375,19637.44921875,19682.80078125,204900.0,19731.45,19914.919921875,47.82120046671158,78.2239991374081,113.83142542278998
2023-09-27,19716.44921875,19730.69921875,19554.0,19637.05078125,203600.0,19694.459765625,19887.244921875,50.355946999109044,66.30442600672541,104.32602553957706
2023-09-28,19523.55078125,19766.650390625,19492.099609375,19761.80078125,352800.0,19650.7,19832.6,42.138727149045096,40.82221357092931,91.62526314584751
2023-09-29,19638.30078125,19726.25,19551.05078125,19581.19921875,243500.0,19643.51015625,19786.1201171875,47.61505338729283,29.546152960876498,79.20944110885331
2023-10-03,19528.75,19623.19921875,19479.650390625,19622.400390625,221700.0,19614.35,19719.76015625,43.39260348871875,11.635830583076313,65.69471900369791
2023-10-04,19436.099609375,19457.80078125,19333.599609375,19446.30078125,277100.0,19568.630078125,19650.0400390625,40.14980384643423,-9.919989683952736,50.57177726616778
2023-10-05,19545.75,19576.94921875,19487.30078125,19521.849609375,234900.0,19534.490234375,19614.475,45.354620841840045,-17.948364832664083,36.867748846401405
2023-10-06,19653.5,19675.75,19589.400390625,19621.19921875,159100.0,19560.480078125,19605.5900390625,49.95984050422918,-15.438420976723137,26.406514881776495
2023-10-09,19512.349609375,19588.94921875,19480.5,19539.44921875,165100.0,19535.28984375,19589.4,44.65124135904991,-24.55586454712102,16.21403899599699
2023-10-10,19689.849609375,19717.80078125,19565.44921875,19565.599609375,216600.0,19567.509765625,19590.9298828125,51.61397513845819,-17.25977771996986,9.51927565280362
2023-10-11,19811.349609375,19839.19921875,19756.94921875,19767.0,213700.0,19642.559765625,19605.594921875,55.72017777695564,-1.6544700608646963,7.2845265100699566
2023-10-12,19794.0,19843.30078125,19772.650390625,19822.69921875,217900.0,19692.209765625,19613.35,55.00238340450343,9.206750520323112,7.668971312120588
2023-10-13,19751.05078125,19805.400390625,19635.30078125,19654.55078125,255000.0,19711.719921875,19636.1,53.1761564445861,14.185185086553247,8.972214067007119
2023-10-16,19731.75,19781.30078125,19691.849609375,19737.25,181000.0,19755.6,19645.444921875,52.33520394605814,16.384350016371172,10.45464125687993
2023-10-17,19811.5,19849.75,19775.650390625,19843.19921875,185800.0,19779.930078125,19673.719921875,55.468910521017165,24.282449605074362,13.220202926518816
2023-10-18,19671.099609375,19840.94921875,19659.94921875,19820.44921875,198900.0,19751.880078125,19697.219921875,49.32116069854505,18.99366513490895,14.374895368196842
2023-10-19,19624.69921875,19681.80078125,19512.349609375,19545.19921875,230300.0,19718.019921875,19705.11484375,47.449462380330786,10.932122891790641,13.686340872915602
2023-10-20,19542.650390625,19593.80078125,19518.69921875,19542.150390625,198300.0,19676.33984375,19694.0298828125,44.25155056415456,-2.0536884926114,10.538334999810202
2023-10-23,19281.75,19556.849609375,19257.849609375,19521.599609375,176000.0,19586.33984375,19670.969921875,35.9536969147009,-33.0169201571116,1.8272839684258406
2023-10-25,19122.150390625,19347.30078125,19074.150390625,19286.44921875,225300.0,19448.469921875,19614.2,32.00060230383789,-69.63119391668079,-12.464411608595487
2023-10-26,18857.25,19041.69921875,18837.849609375,19027.25,300400.0,19285.7,19518.7900390625,26.744502155652516,-118.65572795005937,-33.70267487688827
2023-10-27,19047.25,19076.150390625,18926.650390625,18928.75,205200.0,19170.21015625,19444.1150390625,34.99209705249667,-140.55636597677585,-55.073413096865785
2023-10-30,19140.900390625,19158.5,18940.0,19053.400390625,180100.0,19089.86015625,19383.1,38.6580377644239,-148.64251713330304,-73.78723390415324
2023-10-31,19079.599609375,19233.69921875,19056.44921875,19232.94921875,206000.0,19049.430078125,19317.8849609375,37.18005160150652,-158.17397973874904,-90.6645830710724
2023-11-01,18989.150390625,19096.05078125,18973.69921875,19064.05078125,194100.0,19022.830078125,19235.65,35.050684408421226,-171.0544196890114,-106.7425503946602
2023-11-02,19133.25,19175.25,19064.150390625,19120.0,245600.0,19078.030078125,19181.8650390625,40.861700398647486,-167.70146882025438,-118.93433407977903
2023-11-03,19230.599609375,19276.25,19210.900390625,19241.0,189500.0,19114.7,19142.455078125,44.475923272929656,-155.3976043567527,-126.22698813517377
2023-11-06,19411.75,19423.0,19309.69921875,19345.849609375,180700.0,19168.869921875,19129.3650390625,50.53409775086208,-129.53616822458935,-126.88882415305689
2023-11-07,19406.69921875,19423.5,19329.099609375,19404.05078125,198700.0,19234.28984375,19141.8599609375,50.369080850480174,-108.20107496463606,-123.15127431537272
2023-11-08,19443.5,19464.400390625,19401.5,19449.599609375,195000.0,19325.159765625,19173.994921875,51.608995270343414,-87.31681051635678,-115.98438155556953
2023-11-09,19395.30078125,19463.900390625,19378.349609375,19457.400390625,208400.0,19377.569921875,19227.8,49.8523163943361,-73.8043836207944,-107.5483819686145
